code,name,scope_group,industry,ent_type,event_count,latest_ann_date,locator_terms
002385,大北农,商品,农林牧渔,民企,4,2026-04-24,"[""场外衍生品"", ""大豆"", ""小麦"", ""期权"", ""期货"", ""油脂"", ""玉米"", ""生猪"", ""菜粕"", ""豆油"", ""豆粕""]"
000819,岳阳兴长,商品,石油石化,央企,2,2026-04-21,"[""丙烯"", ""期权"", ""期货"", ""甲醇"", ""聚丙烯"", ""钯"", ""铂""]"
300828,锐新科技,商品,机械设备,地方国企,2,2026-03-31,"[""期货"", ""铜"", ""铝""]"
300834,星辉环材,商品,基础化工,外资,2,2026-02-14,"[""期货"", ""苯乙烯""]"
600183,生益科技,商品,电子,其他,2,2026-03-12,"[""期货"", ""金"", ""钯"", ""铂"", ""铜"", ""银"", ""锌"", ""镍""]"
600987,航民股份,商品,纺织服饰,集体,1,2026-04-10,"[""其他"", ""期权"", ""期货"", ""黄金""]"
600226,亨通股份,商品,公用事业,民企,3,2026-07-14,"[""期权"", ""期货"", ""铜""]"
600259,中稀有色,商品,有色金属,央企,2,2026-03-20,"[""期权"", ""期货"", ""铜"", ""铝"", ""锌"", ""锡""]"
600388,龙净环保,商品,环保,地方国企,2,2026-03-21,"[""期权"", ""期货"", ""碳酸锂"", ""阴极铜""]"
002759,天际股份,商品,电力设备,外资,1,2025-12-13,"[""期货"", ""碳酸锂""]"
300852,四会富仕,外汇,电子,民企,3,2026-03-31,"[""外汇掉期"", ""外汇远期"", ""期权"", ""美元""]"
000404,长虹华意,外汇,家用电器,地方国企,2,2026-04-18,"[""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""欧元"", ""美元"", ""远期结售汇""]"
000970,中科三环,外汇,有色金属,央企,2,2026-03-28,"[""场外衍生品"", ""期权"", ""美元"", ""远期结售汇""]"
002252,上海莱士,外汇,医药生物,集体,2,2026-03-27,"[""其他"", ""外汇掉期"", ""外汇远期"", ""期权"", ""美元"", ""远期结售汇""]"
002649,博彦科技,外汇,计算机,其他,2,2025-12-20,"[""利率互换"", ""外汇掉期"", ""日元"", ""期权"", ""美元"", ""远期结售汇""]"
300153,科泰电源,外汇,电力设备,外资,2,2026-04-24,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""期权"", ""美元"", ""货币互换"", ""远期结售汇""]"
300856,科思股份,外汇,美容护理,民企,3,2026-04-23,"[""远期结售汇""]"
002254,泰和新材,外汇,基础化工,地方国企,2,2026-04-14,"[""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""美元"", ""远期结售汇""]"
300268,*ST佳沃,外汇,农林牧渔,其他,2,2026-03-16,"[""其他"", ""利率互换"", ""外汇掉期"", ""期权"", ""美元"", ""远期结售汇""]"
300415,伊之密,外汇,机械设备,外资,2,2026-04-17,"[""其他"", ""利率互换"", ""利率掉期"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""美元"", ""货币互换"", ""远期结售汇""]"
688223,晶科能源,商品+外汇,电力设备,民企,5,2026-04-30,"[""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""多晶硅"", ""日元"", ""期权"", ""期货"", ""欧元"", ""澳元"", ""白银"", ""美元"", ""远期结售汇"", ""铜"", ""铝"", ""锡""]"
000651,格力电器,商品+外汇,家用电器,其他,4,2026-04-29,"[""其他"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""美元"", ""铜"", ""铝""]"
002386,天原股份,商品+外汇,基础化工,地方国企,4,2026-03-27,"[""利率互换"", ""期权"", ""期货"", ""欧元"", ""美元"", ""货币互换"", ""远期结售汇""]"
002556,辉隆股份,商品+外汇,农林牧渔,集体,3,2026-04-17,"[""利率互换"", ""外汇掉期"", ""尿素"", ""期权"", ""期货"", ""欧元"", ""港币"", ""美元"", ""远期结售汇"", ""铝锭""]"
300335,迪森股份,商品+外汇,公用事业,外资,3,2026-04-17,"[""利率互换"", ""外汇掉期"", ""期权"", ""期货"", ""欧元"", ""美元"", ""货币互换"", ""远期结售汇"", ""钢材"", ""铜""]"
600961,株冶集团,商品+外汇,有色金属,央企,3,2025-12-09,"[""外汇远期"", ""期货"", ""白银"", ""美元"", ""铅"", ""铜"", ""铝"", ""锌"", ""黄金""]"
002213,大为股份,商品+外汇,电子,民企,4,2026-03-18,"[""其他"", ""利率互换"", ""利率掉期"", ""利率期权"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""期货"", ""氢氧化锂"", ""碳酸锂"", ""美元"", ""货币互换"", ""远期"", ""远期结售汇"", ""铜"", ""锂盐""]"
000039,中集集团,商品+外汇,机械设备,其他,3,2026-03-27,"[""利率互换"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""热轧卷板"", ""美元"", ""货币互换"", ""钢材""]"
000070,特发信息,商品+外汇,通信,地方国企,3,2026-04-30,"[""期权"", ""期货"", ""美元"", ""远期结售汇"", ""铝""]"
000895,双汇发展,商品+外汇,食品饮料,外资,2,2025-11-27,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""大豆"", ""大豆油"", ""期权"", ""期货"", ""棕榈油"", ""欧元"", ""淀粉"", ""玉米"", ""生猪"", ""白糖"", ""纸浆"", ""美元"", ""豆油"", ""豆粕"", ""货币互换"", ""远期结售汇"", ""铝锭"", ""鸡肉""]"
