code,name,scope_group,industry,ent_type,event_count,latest_ann_date,locator_terms
300828,锐新科技,商品,机械设备,地方国企,5,2026-03-31,"[""期货"", ""铜"", ""铝""]"
002385,大北农,商品,农林牧渔,民企,4,2026-04-24,"[""场外衍生品"", ""大豆"", ""小麦"", ""期权"", ""期货"", ""油脂"", ""玉米"", ""生猪"", ""菜粕"", ""豆油"", ""豆粕""]"
300834,星辉环材,商品,基础化工,外资,4,2026-02-14,"[""期货"", ""苯乙烯""]"
600183,生益科技,商品,电子,其他,4,2026-03-12,"[""期货"", ""金"", ""钌"", ""钯"", ""铂"", ""铑"", ""铜"", ""铱"", ""银"", ""锌"", ""镍""]"
002759,天际股份,商品,电力设备,外资,3,2025-12-13,"[""期货"", ""碳酸锂""]"
600259,中稀有色,商品,有色金属,央企,2,2026-03-20,"[""期权"", ""期货"", ""铜"", ""铝"", ""锌"", ""锡""]"
600388,龙净环保,商品,环保,地方国企,2,2026-03-21,"[""期权"", ""期货"", ""碳酸锂"", ""阴极铜""]"
000819,岳阳兴长,商品,石油石化,央企,2,2026-04-21,"[""丙烯"", ""期权"", ""期货"", ""甲醇"", ""聚丙烯"", ""钯"", ""铂""]"
600987,航民股份,商品,纺织服饰,集体,1,2026-04-10,"[""其他"", ""期权"", ""期货"", ""黄金""]"
000723,美锦能源,商品,煤炭,民企,5,2026-04-25,"[""冶金焦炭"", ""期货"", ""焦炭""]"
002457,青龙管业,商品,建筑材料,民企,5,2026-04-18,"[""PE树脂"", ""PVC树脂"", ""期权"", ""期货"", ""钢材""]"
000025,特  力Ａ,商品,综合,地方国企,4,2026-07-15,"[""其他"", ""期权"", ""期货"", ""白银"", ""铂金"", ""黄金""]"
000898,鞍钢股份,商品,钢铁,央企,4,2026-02-04,"[""动力煤"", ""原料"", ""合金"", ""有色"", ""有色金属"", ""期权"", ""期货"", ""热轧卷板"", ""焦炭"", ""焦煤"", ""螺纹钢"", ""钢材"", ""铁合金"", ""铁矿石""]"
600132,重庆啤酒,商品,食品饮料,外资,4,2025-11-13,"[""场外衍生品"", ""期权"", ""期货"", ""铝"", ""铝材""]"
002095,生 意 宝,商品,传媒,民企,4,2026-04-29,"[""LPG"", ""MEG"", ""PP"", ""PTA"", ""PVC"", ""meg"", ""pp"", ""pvc"", ""动力煤"", ""塑料"", ""尿素"", ""期货"", ""棉纱"", ""棉花"", ""棕榈油"", ""橡胶"", ""沥青"", ""淀粉"", ""热卷"", ""焦炭"", ""焦煤"", ""燃料油"", ""玉米"", ""玻璃"", ""生猪"", ""甲醇"", ""白糖"", ""短纤"", ""硅铁"", ""红枣"", ""纯碱"", ""纸浆"", ""苯乙烯"", ""苹果"", ""菜油"", ""菜粕"", ""螺纹"", ""豆油"", ""豆粕"", ""铁矿"", ""铜"", ""铝"", ""锌"", ""锡"", ""锰硅"", ""镍""]"
603596,伯特利,商品,汽车,外资,4,2026-03-28,"[""期货"", ""铝""]"
000927,中国铁物,商品,交通运输,央企,3,2025-12-12,"[""原油"", ""期货""]"
002479,富春环保,商品,公用事业,地方国企,2,2025-08-22,"[""期货"", ""金"", ""钯"", ""铂"", ""铅"", ""铜"", ""银"", ""锡"", ""镍""]"
002491,通鼎互联,商品,通信,民企,4,2026-04-28,"[""期货"", ""铜""]"
600502,安徽建工,商品,建筑装饰,地方国企,2,2026-06-13,"[""期货"", ""钢材""]"
603551,奥普科技,商品,家用电器,外资,2,2025-08-26,"[""期货"", ""聚丙烯PP"", ""聚氯乙烯PVC"", ""钢"", ""铁"", ""铜"", ""铝""]"
300447,全信股份,商品,国防军工,民企,2,2026-04-25,"[""塑料"", ""期权"", ""期货"", ""铜"", ""银"", ""锡"", ""镍""]"
000504,*ST生物,商品,医药生物,地方国企,1,2026-01-05,"[""期权"", ""期货"", ""碳酸锂""]"
600308,华泰股份,商品,轻工制造,民企,2,2026-04-18,"[""其他"", ""双胶纸"", ""场外衍生品"", ""期权"", ""期货"", ""纸浆"", ""胶版印刷纸""]"
000573,粤宏远Ａ,商品,房地产,民企,1,2023-03-22,"[""期货"", ""金"", ""铅"", ""铜"", ""银"", ""锡""]"
300518,新迅达,商品,商贸零售,民企,1,2023-11-08,"[""其他"", ""农产品"", ""利率互换"", ""场外衍生品"", ""建筑材料"", ""有色金属"", ""期权"", ""期货"", ""能源"", ""货币互换"", ""黑色系""]"
300559,佳发教育,商品,计算机,民企,1,2025-12-10,"[""其他"", ""利率"", ""商品"", ""场外衍生品"", ""期货""]"
002999,天禾股份,商品,基础化工,集体,3,2026-04-28,"[""尿素"", ""期货"", ""甲醇""]"
300346,南大光电,商品,电子,其他,3,2025-10-29,"[""期货"", ""镍""]"
600777,*ST新潮,商品,石油石化,其他,2,2026-04-24,"[""原油"", ""场外衍生品"", ""天然气"", ""期权"", ""期货""]"
002530,金财互联,商品,机械设备,其他,1,2026-03-24,"[""期货"", ""镍""]"
000758,中色股份,商品,有色金属,央企,4,2026-04-02,"[""期货"", ""锌""]"
